min,median,mean,max,stddev,config,bench
sksl_compiler_baseline: 15264 bytes
sksl_compiler_gpu: 411696 bytes
sksl_compiler_graphite: 1177152 bytes
sksl_compiler_compute: 20320 bytes
sksl_binary_size_gpu: 22605 bytes
sksl_binary_size_graphite: 29961 bytes
sksl_binary_size_compute: 507 bytes
0.0995196,0.0996765,0.0998599,0.10075,0.436965,grmtl,patch_loop_texs_0.100000x0.100000
0.136359,0.137374,0.137411,0.138618,0.542199,grmtl,patch_loop_colors_0.100000x0.100000
0.0774078,0.0781875,0.0782299,0.0790398,0.707252,grmtl,patch_loop_meshlines_0.100000x0.100000
13.6732,13.7636,13.7577,13.9288,0.558031,grmtl,patch_LOD_Diff_colors_texs_3.000000x3.000000
8.28496,8.34625,8.3422,8.38438,0.303451,grmtl,patch_LOD_Diff_texs_3.000000x3.000000
11.8178,11.8545,11.8488,11.8814,0.170092,grmtl,patch_LOD_Diff_colors_3.000000x3.000000
6.45354,6.50158,6.49402,6.55758,0.491501,grmtl,patch_LOD_Diff_meshlines_3.000000x3.000000
1.77456,1.78238,1.78462,1.80406,0.560354,grmtl,patch_LOD_Diff_colors_texs_1.000000x1.000000
1.07123,1.07839,1.07929,1.09172,0.577125,grmtl,patch_LOD_Diff_texs_1.000000x1.000000
1.53067,1.54322,1.54321,1.56247,0.640809,grmtl,patch_LOD_Diff_colors_1.000000x1.000000
0.833549,0.841868,0.840975,0.846625,0.47287,grmtl,patch_LOD_Diff_meshlines_1.000000x1.000000
0.134597,0.136505,0.136194,0.136919,0.512661,grmtl,patch_LOD_Diff_colors_texs_0.100000x0.100000
0.0839847,0.0847035,0.0848003,0.0859646,0.737492,grmtl,patch_LOD_Diff_texs_0.100000x0.100000
0.115775,0.116703,0.116625,0.117612,0.607045,grmtl,patch_LOD_Diff_colors_0.100000x0.100000
0.0663993,0.0673209,0.0671399,0.0676115,0.601136,grmtl,patch_LOD_Diff_meshlines_0.100000x0.100000
5.19571,5.25842,5.25437,5.334,0.746967,grmtl,patch_square_colors_texs_3.000000x3.000000
3.11527,3.14713,3.14347,3.17088,0.468576,grmtl,patch_square_texs_3.000000x3.000000
4.46283,4.478,4.4805,4.50852,0.312347,grmtl,patch_square_colors_3.000000x3.000000
2.42842,2.44372,2.44276,2.45801,0.453641,grmtl,patch_square_meshlines_3.000000x3.000000
0.626625,0.632713,0.631789,0.636995,0.469546,grmtl,patch_square_colors_texs_1.000000x1.000000
0.380964,0.385021,0.385175,0.389676,0.692855,grmtl,patch_square_texs_1.000000x1.000000
0.541779,0.546704,0.546631,0.553142,0.717414,grmtl,patch_square_colors_1.000000x1.000000
0.295808,0.300301,0.299979,0.302602,0.710453,grmtl,patch_square_meshlines_1.000000x1.000000
0.134227,0.136269,0.136143,0.138523,0.918085,grmtl,patch_square_colors_texs_0.100000x0.100000
0.0838404,0.0846935,0.0845977,0.0857091,0.66053,grmtl,patch_square_texs_0.100000x0.100000
0.115592,0.116751,0.116679,0.117934,0.659483,grmtl,patch_square_colors_0.100000x0.100000
0.066855,0.0673198,0.0673315,0.0678344,0.422829,grmtl,patch_square_meshlines_0.100000x0.100000
12.9195,12.9912,12.9885,13.0937,0.416947,grmtl,patch_normal_colors_texs_3.000000x3.000000
7.84729,7.89346,7.88849,7.94633,0.427689,grmtl,patch_normal_texs_3.000000x3.000000
11.2123,11.2531,11.2493,11.3113,0.299937,grmtl,patch_normal_colors_3.000000x3.000000
